frame,track_id,class_name,confidence,x1,y1,x2,y2,pixel_speed_px_per_frame
48,1,bus,0.9168,1483,228,1832,825,3.4
48,2,car,0.6383,458,160,529,247,0.559
48,3,car,0.7065,488,132,552,178,0.25
48,6,car,0.4486,626,126,704,188,0.25
48,7,bus,0.7176,385,98,475,179,0.0
48,9,bus,0.721,255,102,369,205,1.75
48,5,bus,0.7634,0,352,519,1064,1.25
48,21,person,0.4861,1454,189,1485,268,0.354
49,1,bus,0.9226,1486,230,1837,829,3.606
49,2,car,0.627,457,160,529,247,0.354
49,3,car,0.7564,488,133,552,178,0.25
49,6,car,0.5257,626,126,705,188,0.25
49,7,bus,0.6927,385,97,475,178,0.25
49,9,bus,0.6732,253,101,368,204,2.062
49,5,bus,0.8296,0,350,520,1064,1.061
49,21,person,0.444,1454,189,1484,267,0.25
50,1,bus,0.9361,1486,230,1838,834,3.606
50,2,car,0.627,457,160,529,247,0.25
50,3,car,0.7215,488,133,552,179,0.354
50,6,car,0.5499,626,126,705,188,0.25
50,7,bus,0.6714,385,97,475,178,0.25
50,9,bus,0.7001,250,102,365,204,2.25
50,5,bus,0.7172,0,347,522,1064,1.414
50,21,person,0.4464,1452,188,1482,267,0.791
51,1,bus,0.9397,1485,232,1839,840,3.25
51,2,car,0.6192,457,160,529,247,0.25
51,3,car,0.724,488,133,552,179,0.25
51,6,car,0.5601,625,127,704,189,0.559
51,7,bus,0.6245,385,97,476,178,0.25
51,9,bus,0.6261,248,103,363,203,2.264
51,5,truck,0.4997,0,345,524,1067,1.118
51,21,person,0.3972,1453,188,1483,264,0.559
52,1,bus,0.9314,1485,232,1841,844,3.354
52,2,car,0.5991,457,160,529,247,0.0
52,3,car,0.7321,488,133,552,179,0.25
52,6,car,0.5705,625,126,705,188,0.0
52,7,bus,0.5614,385,97,476,178,0.25
52,9,bus,0.5195,246,103,363,204,2.0
52,5,bus,0.5598,0,341,524,1065,1.458
52,21,person,0.4255,1453,188,1482,263,0.901
52,28,truck,0.4669,0,341,522,1064,0.0
53,1,bus,0.9194,1487,234,1844,848,3.162
53,2,car,0.6207,457,160,529,247,0.0
53,3,car,0.7276,488,132,552,178,0.0
53,6,car,0.5451,625,126,705,188,0.0
53,7,bus,0.602,385,97,476,178,0.0
